name,F,M,source
Aleks,2,14,ni
Aleksander,0,37,ni
Aleksandr,0,10,ni
Aleksandra,48,0,ni
Aleksandras,0,2,ni
Aleksandrs,0,2,ni
Aleksas,0,2,ni
Aleksejs,0,2,ni
Aleksi,0,2,ni
Aleksis,2,2,ni
Alekss,0,6,ni
Aleksy,0,2,ni
Alela,2,0,ni
Alen,0,2,ni
Alena,18,0,ni
Alens,0,2,ni
Aleph,0,2,ni
Alera,2,0,ni
Alesa,2,0,ni
Alese,2,0,ni
Alesha,137,0,ni
Alesha-jane,2,0,ni
Aleshia,2,0,ni
Alesia,4,0,ni
Alesio,0,2,ni
Alessa,4,0,ni
Alessandra,6,0,ni
Alessandro,0,8,ni
Alesshandra,2,0,ni
Alessia,12,0,ni
Alessio,0,6,ni
Aleta,2,0,ni
Alethea,10,0,ni
Alethia,2,0,ni
Aleu,2,0,ni
Alev,2,0,ni
Alex,436,1023,ni
Alex-James,0,2,ni
Alex-Lee,0,2,ni
Alex-james,0,2,ni
Alexa,104,0,ni
Alexa-lilly,2,0,ni
Alexa-rose,4,0,ni
Alexah,2,0,ni
Alexaleigh,2,0,ni
Alexandar,0,4,ni
Alexander,2,1238,ni
Alexandr,0,2,ni
Alexandra,654,0,ni
Alexandre,0,15,ni
Alexandrea,12,0,ni
Alexandria,64,0,ni
Alexandrina,4,0,ni
Alexandrine,2,0,ni
Alexandrio,0,2,ni
Alexandro,0,2,ni
Alexandros,0,6,ni
Alexandru,0,6,ni
Alexi,2,0,ni
Alexia,24,0,ni
Alexia-Jayde,2,0,ni
Alexia-Rose,2,0,ni
Alexie,6,0,ni
Alexio,0,2,ni
Alexis,179,6,ni
Alexis-Katrina,2,0,ni
Alexis-Lily,2,0,ni
Alexius,2,0,ni
Alexs,2,2,ni
Alexsander,0,6,ni
Alexsandra,2,0,ni
Alexsandro,0,2,ni
Alexsis,2,0,ni
Alexus,2,0,ni
Alexus-victoria,2,0,ni
Alexx,4,0,ni
Alexy,2,0,ni
Alexzander,0,2,ni
Alexzandra,2,0,ni
Alexzena,2,0,ni
Aleya,6,0,ni
Aleyah,4,0,ni
Aleyha,2,0,ni
Aleyna,13,0,ni
Aleysha,4,0,ni
Alfi,0,2,ni
Alfie,0,1129,ni
Alfie-Jack,0,2,ni
Alfie-Jay,0,2,ni
Alfie-Leigh,0,2,ni
Alfie-jack,0,2,ni
Alfie-james,0,2,ni
Alfie-jay,0,2,ni
Alfin,0,2,ni
Alfred,0,39,ni
Alfredo,0,6,ni
Alfy,0,6,ni
Algirdas,0,4,ni
Algis,0,2,ni
Alhakam,0,2,ni
Ali,20,50,ni
Ali-Jo,2,0,ni
Ali-May,2,0,ni
Ali-Rose,2,0,ni
Alia,17,0,ni
Aliah,4,0,ni
Aliana,2,0,ni
Alica,2,0,ni
Alicamarie,2,0,ni
Alice,641,0,ni
Alice-Jean,2,0,ni
Alice-Joy,2,0,ni
Alice-Louise,2,0,ni
Alice-Marie,2,0,ni
Alice-Rose,4,0,ni
Alice-diana,2,0,ni
Alicia,393,0,ni
Alicia-Bo,2,0,ni
Alicia-Lee,2,0,ni
Alicia-Louise,2,0,ni
Alicia-Marie,2,0,ni
Alicia-Rose,2,0,ni
Alicija,2,0,ni
Alicja,58,0,ni
Alick,0,4,ni
Alicsha,2,0,ni
Aliese,2,0,ni
Aliesha,12,0,ni
Aliesha-Leigh,2,0,ni
Aliisa,2,0,ni
Alija,2,0,ni
Alijah,2,0,ni
Alijhanna,2,0,ni
Alimah,2,0,ni
Alin,0,4,ni
Alina,20,0,ni
Aline,2,0,ni
Alinn,2,0,ni
Alinne,2,0,ni
Aliona,2,0,ni
Alis,6,0,ni
Alisa,22,0,ni
Alisar,2,0,ni
Alise,16,0,ni
Alise-Jo,2,0,ni
Alisha,295,0,ni
Alisha-Jane,2,0,ni
Alisha-Mae,2,0,ni
Alisha-jo,2,0,ni
Alisha-louise,2,0,ni
Alishah,2,0,ni
Alishba,2,0,ni
Alishia,4,0,ni
Alishya,4,0,ni
Alisia,8,0,ni
Alison,88,0,ni
Alissa,27,0,ni
Alissa-Laurie,2,0,ni
Alissa-lee,2,0,ni
Alisse,2,0,ni
Alisshia,2,0,ni
Alistair,0,61,ni
Alistair-James,0,2,ni
Alister,0,11,ni
Alita,2,0,ni
Alivia,28,0,ni
Aliviya,2,0,ni
Alix,48,10,ni
Alixandra,4,0,ni
Aliya,26,0,ni
Aliyagh,2,0,ni
Aliyah,50,0,ni
Aliye,2,0,ni
Aliyya,2,0,ni
Aliz,4,0,ni
Aliz-mai,2,0,ni
Aliza,10,0,ni
Aliza-Jane,2,0,ni
Alizeh,2,0,ni
Aliziha,2,0,ni
Aljon,0,4,ni
Allae,2,0,ni
Allan,0,26,ni
Allana,10,0,ni
Allanah,6,0,ni
Allanis,2,0,ni
Allannah,4,0,ni
Allaoise,2,0,ni
Allastair,0,2,ni
Allayna,2,0,ni
Alle,0,2,ni
Alleah,2,0,ni
Allegra,10,0,ni
Alleigh,2,0,ni
Alleigha,2,0,ni
Allen,2,18,ni
Alleneh,2,0,ni
Allesha,2,0,ni
Allex,2,2,ni
Allexis,2,0,ni
Allexx,2,0,ni
Alleyah,2,0,ni
Alli,6,0,ni
Allia,4,0,ni
Alliana,2,0,ni
Allianne,2,0,ni
Allice,2,0,ni
Allicia,4,0,ni
Allie,43,2,ni
Allie-Jay,2,0,ni
Allie-Leah,2,0,ni
Allie-Mia,2,0,ni
Allie-jane,2,0,ni
Allie-mae,4,0,ni
Allisha,2,0,ni
Allison,16,0,ni
Allissa,2,0,ni
Allistair,0,4,ni
Allister,0,14,ni
Alliyah,4,0,ni
Allwyn,2,0,ni
Ally,28,26,ni
Ally-Louise,2,0,ni
Allyah,2,0,ni
Allyce,4,0,ni
Allyiah,2,0,ni
Allysha,2,0,ni
Allyshia,2,0,ni
